time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
0.000,-5.00000000,0.01450000,0.21025000,-0.00999657,0.20025343,1.00000000,0.00000000,0.00000000,0.70624235,0
1.000,-4.98550000,0.01450000,0.21024992,-0.00999649,0.20025344,1.00000000,0.00000000,0.00000000,0.39179712,0
2.000,-4.97100001,0.01449999,0.21024984,-0.00999640,0.20025344,1.00000000,0.00000000,0.00000000,0.07340561,0
3.000,-4.95650001,0.01449999,0.21024976,-0.00999632,0.20025344,1.00000000,0.00000000,0.00000000,0.32877152,0
4.000,-4.94200002,0.01449999,0.21024967,-0.00999623,0.20025344,1.00000000,0.00000000,0.00000000,0.75575049,0
5.000,-4.92750003,0.01449999,0.21024959,-0.00999614,0.20025344,1.00000000,0.00000000,0.00000000,0.61984822,0
6.000,-4.91300005,0.01449998,0.21024950,-0.00999605,0.20025345,1.00000000,0.00000000,0.00000000,0.21787081,0
7.000,-4.89850007,0.01449998,0.21024941,-0.00999596,0.20025345,1.00000000,0.00000000,0.00000000,0.00967903,0
8.000,-4.88400009,0.01449998,0.21024932,-0.00999587,0.20025345,1.00000000,0.00000000,0.00000000,0.03903690,0
9.000,-4.86950012,0.01449997,0.21024922,-0.00999577,0.20025345,1.00000000,0.00000000,0.00000000,0.39739409,0
10.000,-4.85500015,0.01449997,0.21024912,-0.00999567,0.20025345,1.00000000,0.00000000,0.00000000,0.08263194,0
11.000,-4.84050018,0.01449997,0.21024902,-0.00999557,0.20025346,1.00000000,0.00000000,0.00000000,0.08173542,0
12.000,-4.82600021,0.01449996,0.21024892,-0.00999546,0.20025346,1.00000000,0.00000000,0.00000000,0.06819480,0
13.000,-4.81150025,0.01449996,0.21024882,-0.00999536,0.20025346,1.00000000,0.00000000,0.00000000,0.14617115,0
14.000,-4.79700029,0.01449996,0.21024871,-0.00999525,0.20025346,1.00000000,0.00000000,0.00000000,0.21914733,0
15.000,-4.78250034,0.01449995,0.21024860,-0.00999514,0.20025347,1.00000000,0.00000000,0.00000000,0.35988511,0
16.000,-4.76800039,0.01449995,0.21024849,-0.00999502,0.20025347,1.00000000,0.00000000,0.00000000,0.77277586,0
17.000,-4.75350044,0.01449994,0.21024838,-0.00999491,0.20025347,1.00000000,0.00000000,0.00000000,0.50578457,0
18.000,-4.73900050,0.01449994,0.21024826,-0.00999479,0.20025347,1.00000000,0.00000000,0.00000000,0.87004928,0
19.000,-4.72450056,0.01449994,0.21024814,-0.00999466,0.20025348,1.00000000,0.00000000,0.00000000,0.74542030,0
20.000,-4.71000063,0.01449993,0.21024802,-0.00999454,0.20025348,1.00000000,0.00000000,0.00000000,0.22786443,0
