time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
0.000,-5.00000000,0.01450000,0.21025000,-0.00999657,0.00999657,-0.00999657,0.20025343,1.00000000,0.00000000,0.00000000,0.11167107,0
1.000,-4.98550000,0.01450000,0.21024992,-0.00999649,0.00999649,-0.00999649,0.20025344,1.00000000,0.00000000,0.00000000,0.57578443,0
2.000,-4.97100001,0.01449999,0.21024984,-0.00999640,0.00999640,-0.00999640,0.20025344,1.00000000,0.00000000,0.00000000,0.43776836,0
3.000,-4.95650001,0.01449999,0.21024976,-0.00999632,0.00999632,-0.00999632,0.20025344,1.00000000,0.00000000,0.00000000,0.83451039,0
4.000,-4.94200002,0.01449999,0.21024967,-0.00999623,0.00999623,-0.00999623,0.20025344,1.00000000,0.00000000,0.00000000,0.90282988,0
5.000,-4.92750003,0.01449999,0.21024959,-0.00999614,0.00999614,-0.00999614,0.20025344,1.00000000,0.00000000,0.00000000,0.73481807,0
6.000,-4.91300005,0.01449998,0.21024950,-0.00999605,0.00999605,-0.00999605,0.20025345,1.00000000,0.00000000,0.00000000,0.88452420,0
7.000,-4.89850007,0.01449998,0.21024941,-0.00999596,0.00999596,-0.00999596,0.20025345,1.00000000,0.00000000,0.00000000,0.89310088,0
8.000,-4.88400009,0.01449998,0.21024932,-0.00999587,0.00999587,-0.00999587,0.20025345,1.00000000,0.00000000,0.00000000,0.34516280,0
9.000,-4.86950012,0.01449997,0.21024922,-0.00999577,0.00999577,-0.00999577,0.20025345,1.00000000,0.00000000,0.00000000,0.54351168,0
10.000,-4.85500015,0.01449997,0.21024912,-0.00999567,0.00999567,-0.00999567,0.20025345,1.00000000,0.00000000,0.00000000,0.04597938,0
11.000,-4.84050018,0.01449997,0.21024902,-0.00999557,0.00999557,-0.00999557,0.20025346,1.00000000,0.00000000,0.00000000,0.25511978,0
12.000,-4.82600021,0.01449996,0.21024892,-0.00999546,0.00999546,-0.00999546,0.20025346,1.00000000,0.00000000,0.00000000,0.96490826,0
13.000,-4.81150025,0.01449996,0.21024882,-0.00999536,0.00999536,-0.00999536,0.20025346,1.00000000,0.00000000,0.00000000,0.99852922,0
14.000,-4.79700029,0.01449996,0.21024871,-0.00999525,0.00999525,-0.00999525,0.20025346,1.00000000,0.00000000,0.00000000,0.78344706,0
15.000,-4.78250034,0.01449995,0.21024860,-0.00999514,0.00999514,-0.00999514,0.20025347,1.00000000,0.00000000,0.00000000,0.69694600,0
16.000,-4.76800039,0.01449995,0.21024849,-0.00999502,0.00999502,-0.00999502,0.20025347,1.00000000,0.00000000,0.00000000,0.31820611,0
17.000,-4.75350044,0.01449994,0.21024838,-0.00999491,0.00999491,-0.00999491,0.20025347,1.00000000,0.00000000,0.00000000,0.80274067,0
18.000,-4.73900050,0.01449994,0.21024826,-0.00999479,0.00999479,-0.00999479,0.20025347,1.00000000,0.00000000,0.00000000,0.66552174,0
19.000,-4.72450056,0.01449994,0.21024814,-0.00999466,0.00999466,-0.00999466,0.20025348,1.00000000,0.00000000,0.00000000,0.78581375,0
20.000,-4.71000063,0.01449993,0.21024802,-0.00999454,0.00999454,-0.00999454,0.20025348,1.00000000,0.00000000,0.00000000,0.47418315,0
21.000,-4.69550070,0.01449993,0.21024789,-0.00999441,0.00999441,-0.00999441,0.20025348,1.00000000,0.00000000,0.00000000,0.96092194,0
22.000,-4.68100078,0.01449992,0.21024777,-0.00999428,0.00999428,-0.00999428,0.20025349,1.00000000,0.00000000,0.00000000,0.85420570,0
23.000,-4.66650085,0.01449992,0.21024763,-0.00999415,0.00999415,-0.00999415,0.20025349,1.00000000,0.00000000,0.00000000,0.94069763,0
24.000,-4.65200094,0.01449991,0.21024750,-0.00999401,0.00999401,-0.00999401,0.20025349,1.00000000,0.00000000,0.00000000,0.99707452,0
25.000,-4.63750103,0.01449991,0.21024736,-0.00999387,0.00999387,-0.00999387,0.20025350,1.00000000,0.00000000,0.00000000,0.18336961,0
26.000,-4.62300112,0.01449990,0.21024722,-0.00999372,0.00999372,-0.00999372,0.20025350,1.00000000,0.00000000,0.00000000,0.77282419,0
27.000,-4.60850122,0.01449990,0.21024708,-0.00999358,0.00999358,-0.00999358,0.20025350,1.00000000,0.00000000,0.00000000,0.05382005,0
28.000,-4.59400132,0.01449989,0.21024693,-0.00999343,0.00999343,-0.00999343,0.20025351,1.00000000,0.00000000,0.00000000,0.45401426,0
29.000,-4.57950143,0.01449989,0.21024678,-0.00999327,0.00999327,-0.00999327,0.20025351,1.00000000,0.00000000,0.00000000,0.96124995,0
30.000,-4.56500154,0.01449988,0.21024663,-0.00999311,0.00999311,-0.00999311,0.20025351,1.00000000,0.00000000,0.00000000,0.90340014,0
31.000,-4.55050166,0.01449988,0.21024647,-0.00999295,0.00999295,-0.00999295,0.20025352,1.00000000,0.00000000,0.00000000,0.45505713,0
32.000,-4.53600179,0.01449987,0.21024631,-0.00999279,0.00999279,-0.00999279,0.20025352,1.00000000,0.00000000,0.00000000,0.18386681,0
33.000,-4.52150192,0.01449987,0.21024614,-0.00999262,0.00999262,-0.00999262,0.20025352,1.00000000,0.00000000,0.00000000,0.23182492,0
34.000,-4.50700205,0.01449986,0.21024597,-0.00999244,0.00999244,-0.00999244,0.20025353,1.00000000,0.00000000,0.00000000,0.79239815,0
35.000,-4.49250220,0.01449986,0.21024580,-0.00999227,0.00999227,-0.00999227,0.20025353,1.00000000,0.00000000,0.00000000,0.47132699,0
36.000,-4.47800234,0.01449985,0.21024562,-0.00999209,0.00999209,-0.00999209,0.20025354,1.00000000,0.00000000,0.00000000,0.51297207,0
37.000,-4.46350250,0.01449984,0.21024544,-0.00999190,0.00999190,-0.00999190,0.20025354,1.00000000,0.00000000,0.00000000,0.07792646,0
38.000,-4.44900266,0.01449984,0.21024525,-0.00999171,0.00999171,-0.00999171,0.20025354,1.00000000,0.00000000,0.00000000,0.95230984,0
39.000,-4.43450282,0.01449983,0.21024506,-0.00999151,0.00999151,-0.00999151,0.20025355,1.00000000,0.00000000,0.00000000,0.15439389,0
40.000,-4.42000300,0.01449982,0.21024487,-0.00999132,0.00999132,-0.00999132,0.20025355,1.00000000,0.00000000,0.00000000,0.53037106,0
41.000,-4.40550318,0.01449982,0.21024467,-0.00999111,0.00999111,-0.00999111,0.20025356,1.00000000,0.00000000,0.00000000,0.85377568,0
42.000,-4.39100337,0.01449981,0.21024447,-0.00999090,0.00999090,-0.00999090,0.20025356,1.00000000,0.00000000,0.00000000,0.15419276,0
43.000,-4.37650356,0.01449980,0.21024426,-0.00999069,0.00999069,-0.00999069,0.20025357,1.00000000,0.00000000,0.00000000,0.01078711,0
44.000,-4.36200376,0.01449979,0.21024404,-0.00999047,0.00999047,-0.00999047,0.20025357,1.00000000,0.00000000,0.00000000,0.65744550,0
45.000,-4.34750397,0.01449979,0.21024383,-0.00999025,0.00999025,-0.00999025,0.20025358,1.00000000,0.00000000,0.00000000,0.30851034,0
46.000,-4.33300419,0.01449978,0.21024360,-0.00999002,0.00999002,-0.00999002,0.20025358,1.00000000,0.00000000,0.00000000,0.64071782,0
47.000,-4.31850441,0.01449977,0.21024337,-0.00998978,0.00998978,-0.00998978,0.20025359,1.00000000,0.00000000,0.00000000,0.31546041,0
48.000,-4.30400464,0.01449976,0.21024314,-0.00998954,0.00998954,-0.00998954,0.20025359,1.00000000,0.00000000,0.00000000,0.22834794,0
49.000,-4.28950489,0.01449976,0.21024290,-0.00998930,0.00998930,-0.00998930,0.20025360,1.00000000,0.00000000,0.00000000,0.83038991,0
50.000,-4.27500513,0.01449975,0.21024265,-0.00998905,0.00998905,-0.00998905,0.20025361,1.00000000,0.00000000,0.00000000,0.07415255,0
51.000,-4.26050539,0.01449974,0.21024240,-0.00998879,0.00998879,-0.00998879,0.20025361,1.00000000,0.00000000,0.00000000,0.61378598,0
52.000,-4.24600566,0.01449973,0.21024215,-0.00998853,0.00998853,-0.00998853,0.20025362,1.00000000,0.00000000,0.00000000,0.82024993,0
53.000,-4.23150593,0.01449972,0.21024188,-0.00998826,0.00998826,-0.00998826,0.20025362,1.00000000,0.00000000,0.00000000,0.83661744,0
54.000,-4.21700622,0.01449971,0.21024161,-0.00998798,0.00998798,-0.00998798,0.20025363,1.00000000,0.00000000,0.00000000,0.99444452,0
55.000,-4.20250651,0.01449970,0.21024134,-0.00998770,0.00998770,-0.00998770,0.20025364,1.00000000,0.00000000,0.00000000,0.66969347,0
56.000,-4.18800682,0.01449969,0.21024106,-0.00998741,0.00998741,-0.00998741,0.20025364,1.00000000,0.00000000,0.00000000,0.62344333,0
57.000,-4.17350713,0.01449968,0.21024077,-0.00998712,0.00998712,-0.00998712,0.20025365,1.00000000,0.00000000,0.00000000,0.11431768,0
58.000,-4.15900745,0.01449967,0.21024047,-0.00998681,0.00998681,-0.00998681,0.20025366,1.00000000,0.00000000,0.00000000,0.60069232,0
59.000,-4.14450779,0.01449966,0.21024017,-0.00998650,0.00998650,-0.00998650,0.20025366,1.00000000,0.00000000,0.00000000,0.62234151,0
60.000,-4.13000813,0.01449965,0.21023986,-0.00998619,0.00998619,-0.00998619,0.20025367,1.00000000,0.00000000,0.00000000,0.36625467,0
61.000,-4.11550849,0.01449964,0.21023954,-0.00998586,0.00998586,-0.00998586,0.20025368,1.00000000,0.00000000,0.00000000,0.87126699,0
62.000,-4.10100885,0.01449963,0.21023922,-0.00998553,0.00998553,-0.00998553,0.20025369,1.00000000,0.00000000,0.00000000,0.41669494,0
63.000,-4.08650923,0.01449962,0.21023889,-0.00998519,0.00998519,-0.00998519,0.20025369,1.00000000,0.00000000,0.00000000,0.10636548,0
64.000,-4.07200962,0.01449961,0.21023855,-0.00998485,0.00998485,-0.00998485,0.20025370,1.00000000,0.00000000,0.00000000,0.36106291,0
65.000,-4.05751002,0.01449959,0.21023820,-0.00998449,0.00998449,-0.00998449,0.20025371,1.00000000,0.00000000,0.00000000,0.39455854,0
66.000,-4.04301043,0.01449958,0.21023784,-0.00998413,0.00998413,-0.00998413,0.20025372,1.00000000,0.00000000,0.00000000,0.54499484,0
67.000,-4.02851086,0.01449957,0.21023748,-0.00998375,0.00998375,-0.00998375,0.20025373,1.00000000,0.00000000,0.00000000,0.19519949,0
68.000,-4.01401130,0.01449956,0.21023711,-0.00998337,0.00998337,-0.00998337,0.20025374,1.00000000,0.00000000,0.00000000,0.68903809,0
69.000,-3.99951175,0.01449954,0.21023673,-0.00998298,0.00998298,-0.00998298,0.20025374,1.00000000,0.00000000,0.00000000,0.67307858,0
70.000,-3.98501221,0.01449953,0.21023634,-0.00998258,0.00998258,-0.00998258,0.20025375,1.00000000,0.00000000,0.00000000,0.85245031,0
71.000,-3.97051269,0.01449952,0.21023594,-0.00998217,0.00998217,-0.00998217,0.20025376,1.00000000,0.00000000,0.00000000,0.71054836,0
72.000,-3.95601318,0.01449950,0.21023553,-0.00998175,0.00998175,-0.00998175,0.20025377,1.00000000,0.00000000,0.00000000,0.10742870,0
73.000,-3.94151369,0.01449949,0.21023511,-0.00998133,0.00998133,-0.00998133,0.20025378,1.00000000,0.00000000,0.00000000,0.89042643,0
74.000,-3.92701421,0.01449947,0.21023468,-0.00998089,0.00998089,-0.00998089,0.20025379,1.00000000,0.00000000,0.00000000,0.97201231,0
75.000,-3.91251474,0.01449946,0.21023424,-0.00998044,0.00998044,-0.00998044,0.20025380,1.00000000,0.00000000,0.00000000,0.25769112,0
76.000,-3.89801530,0.01449944,0.21023379,-0.00997998,0.00997998,-0.00997998,0.20025381,1.00000000,0.00000000,0.00000000,0.56052082,0
77.000,-3.88351586,0.01449943,0.21023333,-0.00997951,0.00997951,-0.00997951,0.20025382,1.00000000,0.00000000,0.00000000,0.73532102,0
78.000,-3.86901644,0.01449941,0.21023286,-0.00997903,0.00997903,-0.00997903,0.20025383,1.00000000,0.00000000,0.00000000,0.75448260,0
79.000,-3.85451704,0.01449939,0.21023238,-0.00997854,0.00997854,-0.00997854,0.20025385,1.00000000,0.00000000,0.00000000,0.64840300,0
80.000,-3.84001766,0.01449938,0.21023189,-0.00997803,0.00997803,-0.00997803,0.20025386,1.00000000,0.00000000,0.00000000,0.50426197,0
81.000,-3.82551829,0.01449936,0.21023139,-0.00997752,0.00997752,-0.00997752,0.20025387,1.00000000,0.00000000,0.00000000,0.78848942,0
82.000,-3.81101894,0.01449934,0.21023087,-0.00997699,0.00997699,-0.00997699,0.20025388,1.00000000,0.00000000,0.00000000,0.89614999,0
